,City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Country
0,Salalah,100,1659489615,100,17.0151,54.0924,75.29,4.61,OM
1,Lugovoy,2,1659489736,67,42.9472,72.7644,66.65,9.66,KZ
2,Rikitea,40,1659489509,73,-23.1203,-134.9692,72.34,20.58,PF
3,Yellowknife,18,1659488981,43,62.456,-114.3525,62.2,8.32,CA
4,Butaritari,20,1659489209,75,3.0707,172.7902,82.02,15.99,KI
5,Mataura,99,1659489500,85,-46.1927,168.8643,44.47,10.4,NZ
6,Barrow,0,1659489101,71,71.2906,-156.7887,48.22,13.8,US
7,Carnarvon,56,1659489196,58,-24.8667,113.6333,68.58,19.39,AU
8,Busselton,100,1659489505,67,-33.65,115.3333,54.09,31.21,AU
9,Fare,31,1659489739,69,-16.7,-151.0167,78.26,23.13,PF
10,Cherskiy,100,1659489573,93,68.75,161.3,49.73,8.66,RU
11,Hermanus,8,1659489201,84,-34.4187,19.2345,47.8,2.51,ZA
12,San Rafael,0,1659489739,53,-34.6177,-68.3301,49.46,6.13,AR
13,Vaini,75,1659489193,89,-21.2,-175.2,80.76,12.66,TO
14,Hilo,100,1659489503,77,19.7297,-155.09,80.33,6.91,US
15,Kavieng,32,1659489268,72,-2.5744,150.7967,84.34,16.4,PG
16,Inhambane,25,1659489741,70,-23.865,35.3833,62.87,4.18,MZ
17,Palmer,75,1659489408,81,42.1584,-72.3287,79.21,3.44,US
18,Mandalgovi,19,1659489676,48,45.7625,106.2708,75.18,10.85,MN
19,Cabo San Lucas,0,1659489191,51,22.8909,-109.9124,89.91,10.36,MX
20,Albany,0,1659489309,64,42.6001,-73.9662,76.64,8.48,US
21,Halifax,100,1659489601,97,44.6453,-63.5724,71.49,1.01,CA
22,Mount Isa,29,1659489407,24,-20.7333,139.5,83.97,11.5,AU
23,Saint-Pierre,75,1659489744,81,-21.3393,55.4781,65.91,6.91,RE
24,Payakumbuh,100,1659489745,96,-0.2202,100.6308,71.02,1.66,ID
25,Ushuaia,100,1659489513,93,-54.8,-68.3,35.26,0.0,AR
26,Lavrentiya,28,1659489195,55,65.5833,-171.0,58.19,11.41,RU
27,Jamestown,0,1659489553,59,42.097,-79.2353,65.84,6.91,US
28,Ribeira Grande,98,1659489253,84,38.5167,-28.7,75.38,13.69,PT
29,Bethel,0,1659489254,90,41.3712,-73.414,80.49,0.0,US
30,Thompson,100,1659489134,84,55.7435,-97.8558,55.44,2.21,CA
31,Port Elizabeth,0,1659489223,65,-33.918,25.5701,61.32,1.99,ZA
32,Nioki,99,1659489748,48,-2.7167,17.6833,80.42,3.33,CD
33,Howard Springs,100,1659489748,77,-12.497,131.047,81.99,4.68,AU
34,Asău,0,1659489749,69,46.4333,26.4,58.28,5.03,RO
35,Saint-Joseph,49,1659489660,81,-21.3667,55.6167,64.2,9.91,RE
36,Dikson,100,1659489516,89,73.5069,80.5464,43.09,13.96,RU
37,Bredasdorp,14,1659489534,87,-34.5322,20.0403,49.28,4.23,ZA
38,Gao,50,1659489750,52,16.6362,1.637,84.96,10.38,ML
39,Qaanaaq,19,1659489530,61,77.484,-69.3632,45.16,2.17,GL
40,Smithers,75,1659489751,72,54.7804,-127.1743,61.12,0.0,CA
41,Dingle,100,1659489751,78,10.9995,122.6711,83.95,6.42,PH
42,Kapaa,100,1659489552,79,22.0752,-159.319,85.98,23.02,US
43,Upernavik,73,1659489566,81,72.7868,-56.1549,44.65,1.81,GL
44,Provideniya,0,1659489236,55,64.3833,-173.3,60.91,15.66,RU
45,Sotouboua,100,1659489753,94,8.5667,0.9833,68.65,3.18,TG
46,Lebu,1,1659489506,81,-37.6167,-73.65,46.98,15.59,CL
47,East London,70,1659489291,58,-33.0153,27.9116,65.55,5.14,ZA
48,Saint Paul Harbor,0,1659488977,45,57.79,-152.4072,67.51,31.07,US
49,Longyearbyen,75,1659489230,87,78.2186,15.6401,49.84,3.44,SJ
50,Torbay,100,1659489239,81,47.6666,-52.7314,66.58,10.04,CA
51,Celestún,44,1659489755,81,20.8667,-90.4,81.61,19.04,MX
52,Aksarka,36,1659489756,67,66.5606,67.7975,59.38,7.56,RU
53,Faanui,2,1659489183,68,-16.4833,-151.75,78.42,22.46,PF
54,Hefei,0,1659489757,66,31.8639,117.2808,91.42,6.71,CN
55,Marrakesh,40,1659489252,26,31.6315,-8.0083,95.07,4.61,MA
56,Vila Franca do Campo,48,1659489183,81,37.7167,-25.4333,66.61,1.83,PT
57,Port Lincoln,0,1659489270,55,-34.7333,135.8667,59.43,26.89,AU
58,Pisco,20,1659489217,82,-13.7,-76.2167,60.85,10.36,PE
59,Yelanskiy,0,1659489759,85,56.8419,62.5014,53.47,5.14,RU
60,Burnie,100,1659489759,85,-41.0667,145.9167,56.91,22.44,AU
61,Nikolskoye,68,1659489517,91,59.7035,30.7861,58.8,4.85,RU
62,Saint-Philippe,50,1659489521,81,-21.3585,55.7679,65.21,9.31,RE
63,Thinadhoo,99,1659489664,76,0.5333,72.9333,80.26,10.45,MV
64,Avarua,100,1659489592,53,-21.2078,-159.775,77.05,10.36,CK
65,Tasiilaq,16,1659489223,60,65.6145,-37.6368,42.96,2.57,GL
66,Severo-Kuril'sk,13,1659489506,76,50.6789,156.125,56.39,6.76,RU
67,Bluff,42,1659489532,74,-46.6,168.3333,44.8,29.21,NZ
68,Taoudenni,71,1659489385,9,22.6783,-3.9836,101.5,9.42,ML
69,Punta Arenas,20,1659489513,100,-53.15,-70.9167,33.91,2.3,CL
70,Campbell River,40,1659489509,46,50.0163,-125.2446,73.78,6.91,CA
71,Los Llanos de Aridane,75,1659489763,83,28.6585,-17.9182,67.75,16.11,ES
72,Archidona,0,1659489764,44,37.0965,-4.3887,72.41,4.97,ES
73,Vavoua,98,1659489764,89,7.3819,-6.4778,70.56,5.66,CI
74,Puerto Ayora,31,1659489496,87,-0.7393,-90.3518,70.56,8.99,EC
75,Cairns,40,1659489766,64,-16.9167,145.7667,83.07,13.8,AU
76,New Norfolk,83,1659489217,79,-42.7826,147.0587,59.92,4.0,AU
77,Alugan,44,1659489766,72,12.2188,125.4808,84.43,3.49,PH
78,Biak,99,1659489767,75,-0.9131,122.8766,79.72,6.51,ID
79,Ponta do Sol,11,1659489203,82,32.6667,-17.1,73.0,5.32,PT
80,Broken Hill,0,1659489768,40,-31.95,141.4333,68.88,26.26,AU
81,Stykkisholmur,99,1659489769,76,65.0757,-22.7297,45.39,14.94,IS
82,Mar del Plata,100,1659489249,97,-38.0023,-57.5575,55.09,2.3,AR
83,Cape Town,75,1659489429,87,-33.9258,18.4232,58.37,5.75,ZA
84,Sørland,86,1659489202,79,67.667,12.6934,53.46,20.38,NO
85,Port Alfred,4,1659489201,55,-33.5906,26.891,65.98,10.07,ZA
86,Zhigansk,81,1659489313,54,66.7697,123.3711,51.91,18.88,RU
87,Shakawe,4,1659489771,54,-18.3667,21.85,57.34,1.36,BW
88,Waingapu,44,1659489772,66,-9.6567,120.2641,80.29,7.36,ID
89,College,75,1659489358,71,64.8569,-147.8028,68.58,10.36,US
90,Bambous Virieux,40,1659489195,88,-20.3428,57.7575,66.45,4.61,MU
91,Mahébourg,40,1659489596,88,-20.4081,57.7,66.49,4.61,MU
92,Pointe Michel,100,1659489773,77,15.25,-61.3833,82.69,13.96,DM
93,Kungurtug,100,1659489774,76,50.5994,97.5228,59.54,1.21,RU
94,Touros,8,1659489217,88,-5.1989,-35.4608,75.2,7.9,BR
95,Tazmalt,26,1659489775,53,36.3868,4.3989,72.52,2.71,DZ
96,Copiapó,0,1659489502,75,-27.3667,-70.3333,49.69,0.81,CL
97,Karasjok,100,1659489776,92,69.4719,25.5112,52.54,4.63,NO
98,Hobart,40,1659489519,63,-42.8794,147.3294,59.25,14.97,AU
99,Tigre,20,1659489777,87,-34.426,-58.5796,58.21,4.61,AR
100,Muros,22,1659489540,80,42.7762,-9.0603,70.09,10.6,ES
101,Saskylakh,100,1659489271,70,71.9167,114.0833,45.37,11.21,RU
102,Kamenka,99,1659489779,59,51.3223,42.7678,64.56,10.42,RU
103,Yaan,100,1659489710,93,7.3833,8.5667,71.28,4.0,NG
104,Kununurra,9,1659489779,37,-15.7667,128.7333,84.18,8.05,AU
105,Isangel,75,1659489283,79,-19.55,169.2667,84.31,2.3,VU
106,Tuktoyaktuk,75,1659489520,87,69.4541,-133.0374,53.6,13.8,CA
107,Magadan,90,1659489781,88,59.5667,150.8,61.54,9.64,RU
108,Kaitangata,82,1659489273,74,-46.2817,169.8464,50.88,15.32,NZ
109,Padang,100,1659489619,88,-0.9492,100.3543,77.05,2.86,ID
110,Leeuwarden,27,1659489782,93,53.2014,5.8086,66.99,6.91,NL
111,Geraldton,75,1659489328,72,-28.7667,114.6,61.21,13.8,AU
112,Thunder Bay,100,1659489719,77,48.4001,-89.3168,64.31,6.91,CA
